agency,facility,active,owner,facility_type,id,city,agency_type,public_remarks,source,state,latitude,zip_code,nprid,address,remarks,slug,name,reverse_geocoded,url,longitude,entry,owner_type,smooth-surface-throughout,transfer-stations-to-play-components,ramps-to-play-components,accessible-swing,sound-play-components,sight-impaired-play-components,safety-fence,single-entrance
,,,City of New York,,1,Brooklyn,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,32.2895,11236,447,"Glenwood Rd, E 100 & E 101 Sts",,100-playground-brooklyn-ny,100% Playground,,,-95.291044,,Municipal/Local Government,False,False,False,False,False,False,False,False
,,,City of New York,,2,New York,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.7975,10025,448,110 ST & LENOX AVE,,110th-st-lenox-ave-playground-new-york-ny,110th St & Lenox Ave Playground,,,-73.9518,,Municipal/Local Government,True,True,False,False,False,False,False,False
,,,City of New York,,3,New York,,Level 2: Accessible Playgrounds with Ramped Play Equipment and/or Universally Accessible Swings,,NY,40.7998,10025,449,110 ST & CATHEDRAL PKWY,,110th-st-playground-new-york-ny,110th St Playground,,,-73.9571,,Municipal/Local Government,True,False,True,True,False,False,False,False
,,,City of New York,,4,College Point,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.7852,11356,450,"14 Rd, 115 St, 14 Ave",,115th-street-playground-college-point-ny,115th Street Playground,,,-73.8526,,Municipal/Local Government,True,True,False,False,False,False,False,False
,,,City of New York,,5,Jamaica,,Level 2: Accessible Playgrounds with Ramped Play Equipment and/or Universally Accessible Swings,,NY,40.6847,11434,451,157 ST & 116 AVE,,157th-st-playground-jamaica-ny,157th St Playground,,,-73.7864,,Municipal/Local Government,True,False,True,True,False,False,False,False
,,,City of New York,,6,Brooklyn,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.6316,11209,452,79 ST & SHORE RD,,79-st-playground-brooklyn-ny,79 St Playground,,,-74.0396,,Municipal/Local Government,True,True,False,False,False,False,False,False
The City of Harrisonburg,Harrisonburg Park & Rec Park,,Harrisonburg Department of Parks and Recreation,,7,Harrisonburg,,the playground features a new accessible inclusive wheelchair swing,,VA,38.4242458,22801,395,1050 Neff Avenue,,a-dream-come-true-playground-at-harrisonburg-park-rec-park-harrisonburg-va,A Dream Come True Playground,,http://www.harrisonburgva.gov/dream-come-true-playground,-78.8611493,,Municipal,True,False,False,False,False,False,False,False
,Huguenot Park,,,,8,Richmond,,,,VA,37.514744,23235,191,10901 Robious Road,,a-playground-for-katie-and-friends-at-huguenot-park-richmond-va,A Playground for Katie and Friends,,,-77.598578,,,True,False,False,False,False,False,False,False
,Lincoln Park,,,,9,Chicago,,"In addition to the playground, there is also a small field house with activities for young children and a water playground.",,IL,41.9170171,60614,289,1919 North Seminary Avenue,,adams-playground-park-at-lincoln-park-chicago-il,Adams Playground Park,,,-87.6552535,,,True,False,False,False,False,False,False,False
,,,City of New York,,10,Ozone Park,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.6731,11417,453,"BET 81-82 STS, N CONDUIT AVE",,addabbo-playground-ozone-park-ny,Addabbo Playground,,,-73.854,,Municipal/Local Government,True,True,False,False,False,False,False,False
